0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
MLA904468104,Terreno En Venta En Altos Del Chorro,133000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904468104-terreno-en-venta-en-altos-del-chorro-_JM,Uruguay,Maldonado,Pejerreyes al 100,Punta del Este,AR,Argentina,-34.892815,-54.80927,1327 m²,1327.0,m²
MLA904391920,Terreno - Villa Astolfi,320000,USD,2021-04-13T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904391920-terreno-villa-astolfi-_JM,Bs.As. G.B.A. Norte,Pilar,Francisco Lauría al 3000,Villa Astolfi,AR,Argentina,-34.48701,-58.890526,30000 m²,30000.0,m²
MLA904368023,Terreno - San Eliseo Golf & Country,35000,USD,2021-01-31T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904368023-terreno-san-eliseo-golf-country-_JM,Bs.As. G.B.A. Sur,Presidente Perón,Oportunidad! Hermoso Lote al Golf en San Eliseo Golf & Country Club,,AR,Argentina,-34.995533,-58.469414,1100 m²,1100.0,m²
MLA904329041,Terreno - San Sebastián,62000,USD,2021-01-29T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904329041-terreno-san-sebastian-_JM,Bs.As. G.B.A. Norte,Pilar,Lote Al Golf y Laguna Area 2 - San Sebastián,,AR,Argentina,-34.34631,-58.890514,950 m²,950.0,m²
MLA904327383,Terreno - San Sebastián,46000,USD,2021-01-29T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904327383-terreno-san-sebastian-_JM,Bs.As. G.B.A. Norte,Pilar,Lote Al Golf Area 2 - San Sebastian,,AR,Argentina,-34.34631,-58.890514,900 m²,900.0,m²
MLA904370568,Loteo Peumayen,900000,ARS,2021-04-09T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904370568-loteo-peumayen-_JM,Neuquén,Plottier,Ayuntu Y Aitue  100,,AR,Argentina,-38.947567,-68.22885,360 m²,360.0,m²
MLA904347659,Lote De 300 M2 En Venta En Bariloche- Mirador Del Challhuaco - Id: 14.940,12300,USD,2021-01-18T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904347659-lote-de-300-m2-en-venta-en-bariloche-mirador-del-challhuaco-id-14940-_JM,Río Negro,Bariloche,Mirador del ChallHuaco s/n,San Carlos de Bariloche,AR,Argentina,-41.182217,-71.326294,300 m²,300.0,m²
MLA904444209,Countries Y Barrios Cerrados Venta Estancia Villa María,171556,USD,2021-06-04T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904444209-countries-y-barrios-cerrados-venta-estancia-villa-maria-_JM,Bs.As. G.B.A. Sur,Ezeiza,Av.Pereda Cañuelas al 100,José María Ezeiza,AR,Argentina,-34.947098,-58.61171,3899 m²,3899.0,m²
MLA904474445,Excelente Lote En Barrio Privado,95000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904474445-excelente-lote-en-barrio-privado-_JM,Uruguay,Maldonado,Calle Ruta 12 al 100,,AR,Argentina,-34.87201,-55.042683,1000 m²,1000.0,m²
MLA904473639,Venta 501 25 Y 26 Lote De Terreno De 996 Metros,180000,USD,2021-03-20T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904473639-venta-501-25-y-26-lote-de-terreno-de-996-metros-_JM,Bs.As. G.B.A. Sur,La Plata,501 25 y 26,Manuel B. Gonnet,AR,Argentina,-34.892857,-58.021744,996 m²,996.0,m²
MLA904473540,"Excelente Terreno En Barrio Ñireco, Ideal Locales Y Depart.",87000,USD,2021-02-17T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904473540-excelente-terreno-en-barrio-nireco-ideal-locales-y-depart-_JM,Río Negro,Bariloche,Los Ñires al 100,San Carlos de Bariloche,AR,Argentina,-41.138012,-71.28412,650 m²,650.0,m²
MLA904473482,"Venta De Lote En Los Talas, Berisso.",25000,USD,2021-02-13T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904473482-venta-de-lote-en-los-talas-berisso-_JM,Bs.As. G.B.A. Sur,La Plata,Calle 178 al 100,,AR,Argentina,-34.885742,-57.827816,300 m²,300.0,m²
MLA904346055,"Terreno Lote  En Venta Ubicado En Puertos, Escobar",175000,USD,2021-04-05T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904346055-terreno-lote-en-venta-ubicado-en-puertos-escobar-_JM,Bs.As. G.B.A. Norte,Escobar,Costas 300,Puertos,AR,Argentina,-34.332027,-58.731647,853.45 m²,853.45,m²
MLA904357726,Venta De Campo En Paraje Valle Escondido Loncopue,330000,USD,2021-02-16T23:23:07.000Z,https://terreno.mercadolibre.com.ar/MLA-904357726-venta-de-campo-en-paraje-valle-escondido-loncopue-_JM,Neuquén,Loncopué,Paraje Valle Escondido S/N,Loncopué,AR,Argentina,-38.07284,-70.61609,23566769 m²,23566769.0,m²
MLA904329661,Terreno - Pueblo Esther,55000,USD,2021-04-16T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904329661-terreno-pueblo-esther-_JM,Santa Fe,Rosario,"Km 25, Rp21, Fighiera, Santa Fe",Pueblo Esther,AR,Argentina,-33.18227,-60.42774,1185 m²,1185.0,m²
MLA904372966,Lote En Venta Paseo Jardín Confluencia - Neuquén,28000,USD,2021-02-16T23:23:07.000Z,https://terreno.mercadolibre.com.ar/MLA-904372966-lote-en-venta-paseo-jardin-confluencia-neuquen-_JM,Neuquén,Neuquén,Las Grutas 2900,Otros Barrios,AR,Argentina,-38.971455,-68.01984,250 m²,250.0,m²
MLA904412452,"Terreno En Venta - Jardínes De Limay, China Mta",700800,ARS,2021-02-16T23:23:07.000Z,https://terreno.mercadolibre.com.ar/MLA-904412452-terreno-en-venta-jardines-de-limay-china-mta-_JM,Neuquén,Neuquén,Raul Wallenberg - China Muerta S/N,Otros Barrios,AR,Argentina,-38.985867,-68.35217,250 m²,250.0,m²
MLA904402806,Venta Hermoso Lote Al Agua Acacias Puertos Escobar,119000,USD,2021-02-11T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904402806-venta-hermoso-lote-al-agua-acacias-puertos-escobar-_JM,Bs.As. G.B.A. Norte,Escobar,Puertos del Lago - Acacias,Puertos del Lago - Acacias,AR,Argentina,-34.35366,-58.73561,757 m²,757.0,m²
MLA904472614,Terreno En Venta En Km 314 Casas De Mar,15000,USD,2021-01-31T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904472614-terreno-en-venta-en-km-314-casas-de-mar-_JM,Bs.As. Costa Atlántica,San Clemente,Ruta 11 km 314 al 300,,AR,Argentina,-36.442085,-56.712467,855 m²,855.0,m²
MLA904472610,Terreno En Venta En Km 314 Casas De Mar,15000,USD,2021-01-31T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904472610-terreno-en-venta-en-km-314-casas-de-mar-_JM,Bs.As. Costa Atlántica,San Clemente,Ruta 11 km 314 al 300,,AR,Argentina,-36.442085,-56.712467,800 m²,800.0,m²
MLA904473650,"Lote | Antartida Argentina, A.",14500,USD,2021-03-01T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904473650-lote-antartida-argentina-a-_JM,Buenos Aires Interior,Capitán Sarmiento,"ANTARTIDA ARGENTINA, A. al 100",Capitán Sarmiento,AR,Argentina,-34.164352,-59.79605,300 m²,300.0,m²
MLA904475070,"Lote | Antartida Argentina, A.",14500,USD,2021-03-01T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904475070-lote-antartida-argentina-a-_JM,Buenos Aires Interior,Capitán Sarmiento,"ANTARTIDA ARGENTINA, A. al 100",Capitán Sarmiento,AR,Argentina,-34.165615,-59.795868,300 m²,300.0,m²
MLA904473647,"Lote | Antartida Argentina, A.",14500,USD,2021-03-01T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904473647-lote-antartida-argentina-a-_JM,Buenos Aires Interior,Capitán Sarmiento,"ANTARTIDA ARGENTINA, A. al 100",Capitán Sarmiento,AR,Argentina,-34.164352,-59.79605,300 m²,300.0,m²
MLA904463225,"Lote En Venta - Piedras Blancas 1, F. Oro - 500 M2",3000000,ARS,2021-02-16T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904463225-lote-en-venta-piedras-blancas-1-f-oro-500-m2-_JM,Río Negro,General Roca,Av. de los Inmigrantes S/N,General Fernández Oro,AR,Argentina,-38.960934,-67.90801,500 m²,500.0,m²
MLA904464499,Lote 5000 M2 La Lonja - Derqui Cercano Zona Urbana,76000,USD,2021-01-20T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904464499-lote-5000-m2-la-lonja-derqui-cercano-zona-urbana-_JM,Bs.As. G.B.A. Norte,Pilar,Pilar S/N,Presidente Derqui,AR,Argentina,-34.47604,-58.825603,5000 m²,5000.0,m²
MLA904460898,Lote 2500 M2 La Lonja - Derqui Cercano Zona Urbana,38000,USD,2021-01-20T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904460898-lote-2500-m2-la-lonja-derqui-cercano-zona-urbana-_JM,Bs.As. G.B.A. Norte,Pilar,Calle Desconocida  S/N,Presidente Derqui,AR,Argentina,-34.47604,-58.825603,2500 m²,2500.0,m²
MLA904345244,Venta Lote La Melinca Haras Country Golf,49400,USD,2021-02-16T17:18:03.000Z,https://terreno.mercadolibre.com.ar/MLA-904345244-venta-lote-la-melinca-haras-country-golf-_JM,Córdoba,Santa María,Avenida Santa Ana S/N,,AR,Argentina,-31.588694,-64.33141,2165 m²,2165.0,m²
MLA904334061,Excelente Lote En San Juan Chico - Gran Oportunidad De Inversión En Hudson,60000,USD,2021-02-11T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904334061-excelente-lote-en-san-juan-chico-gran-oportunidad-de-inversion-en-hudson-_JM,Bs.As. G.B.A. Sur,Berazategui,San Juan Chico 200,Guillermo Enrique Hudson,AR,Argentina,-34.808422,-58.147804,620 m²,620.0,m²
MLA904350801,Terreno En Venta Centenario,45000,USD,2021-02-16T23:23:07.000Z,https://terreno.mercadolibre.com.ar/MLA-904350801-terreno-en-venta-centenario-_JM,Neuquén,Neuquén,Av. Belgrano S/N,Otros Barrios,AR,Argentina,-38.82266,-68.11729,518 m²,518.0,m²
MLA904472494,Terreno En Venta En El Mirador,68000,USD,2021-02-18T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904472494-terreno-en-venta-en-el-mirador-_JM,Buenos Aires Interior,Brandsen,,,AR,Argentina,-35.3152,-58.053036,1358 m²,1358.0,m²
MLA904328037,Terreno Usam Pb+5+2 Retiros Habitables,500000,USD,2021-01-31T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904328037-terreno-usam-pb52-retiros-habitables-_JM,Capital Federal,Capital Federal,Fraga 1800,Villa Urquiza,AR,Argentina,-34.58252,-58.467995,259 m²,259.0,m²
MLA904374822,"Finca Habilitada De 56,94 Ha. Sembrada Con 31 Ha De Producción Activa",250000,USD,2021-01-25T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904374822-finca-habilitada-de-5694-ha-sembrada-con-31-ha-de-produccion-activa-_JM,Mendoza,Lavalle,"Provincia de Mendoza, Localidad de Lavalle",,AR,Argentina,-32.607426,-67.570854,0 m²,0.0,m²
MLA904472493,Terreno En Venta En El Mirador,63000,USD,2021-02-18T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904472493-terreno-en-venta-en-el-mirador-_JM,Buenos Aires Interior,Brandsen,,,AR,Argentina,-35.3152,-58.053036,1470 m²,1470.0,m²
MLA904468100,Terreno En Venta En Altos Del Chorro,96000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904468100-terreno-en-venta-en-altos-del-chorro-_JM,Uruguay,Maldonado,Pejerreyes al 100,Punta del Este,AR,Argentina,-34.892143,-54.80974,1053 m²,1053.0,m²
MLA904468099,Terreno En Venta En Altos Del Chorro,106000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904468099-terreno-en-venta-en-altos-del-chorro-_JM,Uruguay,Maldonado,Pejerreyes al 100,Punta del Este,AR,Argentina,-34.89242,-54.808666,1081 m²,1081.0,m²
MLA904469095,Terreno En Venta En Altos Del Chorro,106000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904469095-terreno-en-venta-en-altos-del-chorro-_JM,Uruguay,Maldonado,Pejerreyes al 100,Punta del Este,AR,Argentina,-34.89271,-54.80961,1081 m²,1081.0,m²
MLA904468098,Terreno En Venta En Altos Del Chorro,98000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904468098-terreno-en-venta-en-altos-del-chorro-_JM,Uruguay,Maldonado,Pejerreyes al 100,Punta del Este,AR,Argentina,-34.892723,-54.8094,1000 m²,1000.0,m²
MLA904464520,Terreno A La Venta - Altos De Valentina - 702 M2,42000,USD,2021-02-16T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904464520-terreno-a-la-venta-altos-de-valentina-702-m2-_JM,Neuquén,Neuquén,Chivilcoy 8600,Otros Barrios,AR,Argentina,-38.93892,-68.174866,702 m²,702.0,m²
MLA904431496,Venta De Lote En Ezeiza,65000,USD,2021-02-13T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904431496-venta-de-lote-en-ezeiza-_JM,Bs.As. G.B.A. Sur,Ezeiza,Calle Pereda 2b 100,Carlos Spegazzini,AR,Argentina,-34.969704,-58.586235,1550 m²,1550.0,m²
MLA904435347,"Venta Terreno  591 M. Barrio Acacias, Excelente Orientación, Puertos Del Lago, Escobar",69000,USD,2021-01-27T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904435347-venta-terreno-591-m-barrio-acacias-excelente-orientacion-puertos-del-lago-escobar-_JM,Bs.As. G.B.A. Norte,Escobar,Puertos de Escobar,Puertos del Lago - Acacias,AR,Argentina,-34.35366,-58.73561,591 m²,591.0,m²
